ref,remark,category
TXNP501414,Fuel refill HP petrol,Subscription
TXNP501415,Loan EMI debit,Business Expense
TXNP501416,Refund from Amazon,Shopping
TXNP501417,Vendor payment,Salary
TXNP501418,Loan EMI debit,Utility
TXNP501419,Loan EMI debit,Grocery
TXNP501420,Refund from Amazon,Grocery
TXNP501421,Gym membership,Fuel
TXNP501422,Electricity bill payment,Shopping
TXNP501423,Amazon order,EMI
TXNP501424,Parking fee,Parking
TXNP501425,Zomato lunch,Insurance
TXNP501426,Mobile recharge,Subscription
TXNP501427,Netflix subscription,Grocery
TXNP501428,Amazon order,Food
TXNP501429,Refund from Amazon,Refund
TXNP501430,Refund from Amazon,Salary
TXNP501431,Wallet top-up,Salary
TXNP501432,Restaurant dinner,Insurance
TXNP501433,Gym membership,Recharge
TXNP501434,Mobile recharge,Food
TXNP501435,Insurance premium debit,Fuel
TXNP501436,Parking fee,Food
TXNP501437,GST tax payment,Salary
TXNP501438,Gym membership,EMI
TXNP501439,Internet broadband bill,Utility
TXNP501440,Vendor payment,Grocery
TXNP501441,Vendor payment,Subscription
TXNP501442,Internet broadband bill,Wallet
TXNP501443,Wallet top-up,Travel
TXNP501444,Loan EMI debit,EMI
TXNP501445,Insurance premium debit,Food
TXNP501446,Swiggy dinner,Shopping
TXNP501447,Flight booking MakeMyTrip,Grocery
TXNP501448,Gym membership,Utility
TXNP501449,Loan EMI debit,Tax
TXNP501450,Internet broadband bill,Insurance
TXNP501451,UPI to grocery,Refund
TXNP501452,Zomato lunch,Fuel
TXNP501453,Prime Video subscription,Subscription
TXNP501454,UPI to grocery,Salary
TXNP501455,Fuel refill HP petrol,Shopping
TXNP501456,Restaurant dinner,EMI
TXNP501457,Salary credited,Tax
TXNP501458,Loan EMI debit,Parking
TXNP501459,Prime Video subscription,Shopping
TXNP501460,UPI to grocery,Service Expense
TXNP501461,Refund from Amazon,Business Expense
TXNP501462,Restaurant dinner,Shopping
TXNP501463,Zomato lunch,Food
TXNP501464,Insurance premium debit,Food
TXNP501465,Salary credited,Parking
TXNP501466,Internet broadband bill,Utility
TXNP501467,Office stationery,Tax
TXNP501468,Office stationery,EMI
TXNP501469,Flight booking MakeMyTrip,Travel
TXNP501470,Fuel refill HP petrol,Food
TXNP501471,Prime Video subscription,Wallet
TXNP501472,Internet broadband bill,Business Expense
TXNP501473,Zomato lunch,Tax
TXNP501474,GST tax payment,Service Expense
TXNP501475,Fuel refill HP petrol,Salary
TXNP501476,GST tax payment,Insurance
TXNP501477,Netflix subscription,Grocery
TXNP501478,Wallet top-up,Food
TXNP501479,Consulting fee,Refund
TXNP501480,GST tax payment,Food
TXNP501481,Amazon order,Fuel
TXNP501482,Wallet top-up,Parking
TXNP501483,Prime Video subscription,Grocery
TXNP501484,Vendor payment,Insurance
TXNP501485,Insurance premium debit,Food
TXNP501486,Insurance premium debit,Grocery
TXNP501487,Restaurant dinner,Utility
TXNP501488,Wallet top-up,Subscription
TXNP501489,Insurance premium debit,Service Expense
TXNP501490,Office stationery,Subscription
TXNP501491,Consulting fee,Parking
TXNP501492,GST tax payment,Utility
TXNP501493,Gym membership,EMI
TXNP501494,Amazon order,Insurance
TXNP501495,Gym membership,Fuel
TXNP501496,Insurance premium debit,Food
TXNP501497,Vendor payment,EMI
TXNP501498,Wallet top-up,Wallet
TXNP501499,Electricity bill payment,Wallet
